Time (s),dln[SiH4(1)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH4(1)]/dln[k9]: SiH3SiH(5)=H4Si2(7),dln[SiH4(1)]/dln[k11]: H2(3)+H2Si2(22)=H4Si2(7),dln[SiH4(1)]/dG[SiH4(1)],dln[SiH4(1)]/dG[H2(3)],dln[SiH4(1)]/dG[Si(14)],dln[SiH4(1)]/dG[SiH3SiH(5)],dln[SiH4(1)]/dG[H2Si2(22)]
0.16392281083014612,-0.75720369794816522,-0.014004141168500147,-0.00074939226391802891,-0.008136406259391344,0.00041333836188948373,-0.0081353741004370761,0.0077220739897384347,0.0004130956532449406
0.17029840894776585,-0.78688060461543707,-0.014971171368034922,-0.00080114040678876705,-0.0086982955183906932,0.00044188447241623897,-0.0086971767379754698,0.008255337518262771,0.0004416209788379574
0.17667400706538558,-0.8165624547740451,-0.015961002391014723,-0.00085410869463256177,-0.0092734357459718451,0.00047110437324347537,-0.0092722276170291388,0.0088011763646988865,0.00047081884637943856
0.1830496051830053,-0.8462484013982331,-0.016972893210777953,-0.00090825747333213313,-0.0098613963091362233,0.00050097627354997833,-0.0098600962017411451,0.0093591818448491414,0.00050066739585312588
0.18942520330062504,-0.87593764470366975,-0.018006126984124092,-0.00096354838283700824,-0.010461760611601081,0.00053147909935299432,-0.010460365998477501,0.0099289586099727788,0.00053114548066523993
0.19580080141824477,-0.90562943005780039,-0.019060010264436534,-0.0010199443150502422,-0.011074125635449088,0.00056259247028643317,-0.011072634097385499,0.010510124201079857,0.00056223264443626604
0.2021763995358645,-0.93532304593271054,-0.020133872223824623,-0.0010774093722302524,-0.011698101507827446,0.00059429667663336307,-0.011696510722332097,0.011102308626053336,0.00059390909802957761
0.20855199765348423,-0.96501782193842334,-0.021227063900671254,-0.0011359088267451694,-0.012333311062010747,0.00062657265712941278,-0.012331618803518565,0.011705153947609839,0.00062615569739514162
0.21492759577110396,-0.99471312694774272,-0.022338957482606309,-0.0011954090826669713,-0.012979389411506661,0.00065940197779266985,-0.012977593549711924,0.012318313879476482,0.00065895392237073967
0.2213031938887237,-1.0244083673302402,-0.023468945615425785,-0.0012558776388191019,-0.013635983549775113,0.00069276681154388812,-0.013634082049118505,0.012941453415986862,0.00069228585629928945
0.22767879200634342,-1.0541029852426194,-0.024616440732952511,-0.0013172830529098983,-0.014302751967727371,0.00072664991842628587,-0.014300742874961865,0.013574248457337599,0.00072613416627165164
0.23405439012396315,-1.083796456974244,-0.025780874404928284,-0.0013795949066476095,-0.014979364276671214,0.00076103462640085713,-0.014977245727853899,0.014216385451251796,0.00076048208389322856
0.24042998824158288,-1.1134882913620363,-0.026961696708094212,-0.0014427837720589116,-0.015665500834456014,0.00079590481280176616,-0.015663271052602373,0.014867561054253044,0.00079531338669330603
0.2468055863592026,-1.1431780282835231,-0.028158375618075052,-0.0015068211789597611,-0.01636085240030467,0.00083124488644141438,-0.016358509686183909,0.015527481786725869,0.0008306123802178895
0.2531811844768223,-1.17286523720932,-0.029370396422722926,-0.0015716795835860292,-0.017065119791642335,0.00086703977032798543,-0.017062662522846998,0.016195863713845383,0.00086636388072118412
0.25955678259444204,-1.2025495158320141,-0.030597261154370121,-0.0016373323382206889,-0.017778013557329771,0.0009032748849660512,-0.017775440185034925,0.016872432129976765,0.0009025531984341754
0.26593238071206177,-1.2322304887156557,-0.031838488041029102,-0.0017037536618194412,-0.018499253660888091,0.0009399361321882824,-0.018496562701329947,0.017556921256241944,0.00093916612132907684
0.2723079788296815,-1.2619078060144702,-0.0330936109755543,-0.0017709186115629405,-0.019228569157772588,0.0009770098795482999,-0.019225759194925734,0.018249073947556812,0.00097618889948232479
0.2786835769473012,-1.2915811422563723,-0.034362179002262086,-0.0018388030554195511,-0.019965697910969932,0.0010144829452443061,-0.019962767601602618,0.018948641423549951,0.0010136082299374409
0.28505917506492096,-1.3212501951991242,-0.035643755820043643,-0.0019073836455324189,-0.02071038630301927,0.0010523425835271267,-0.020707334373066537,0.019655382978693757,0.0010514112420252242
0.2914347731825407,-1.3509146846951425,-0.03693791930183847,-0.0019766377925795955,-0.021462388948800051,0.001090576470611085,-0.021459214185455981,0.020369065715039505,0.0010895854832434664
0.2978103713001604,-1.3805743516030555,-0.038244261031086448,-0.0020465436409364112,-0.022221468435875299,0.0011291726910297791,-0.022218169681700973,0.02108946429589682,0.0011281189055310622
0.30418596941778014,-1.4102289567809632,-0.039562385853423143,-0.0021170800446320957,-0.022987395072252521,0.0011681197245304903,-0.022983971208888274,0.021816360711172336,0.0011669998520586072
0.3105615675353999,-1.4398782800727261,-0.040891911442428867,-0.0021882265441506691,-0.023759946603372998,0.0012074064333620106,-0.02375639656195988,0.022549544016711026,0.0012062170444034125
0.3169371656530196,-1.4695221193918802,-0.042232467881276624,-0.0022599633440238218,-0.024538907981049067,0.0012470220499878461,-0.024535230749669915,0.023288810108896857,0.0012457595702482858
0.32331276377063933,-1.4991602898241487,-0.043583697255697211,-0.002332271291145928,-0.025324071140254752,0.0012869561652104344,-0.02532026576525994,0.024033961502010513,0.0012856168713765782
0.32968836188825906,-1.5287926227276698,-0.044945253260014091,-0.0024051318535899592,-0.026115234778544032,0.0013271987166251912,-0.026111300344847977,0.02478480712007192,0.0013257787320162754
0.3360639600058788,-1.5584189649296576,-0.046316800820403098,-0.0024785271004254218,-0.026912204122489795,0.0013677399776533216,-0.026908139741214161,0.025541162079670623,0.001366235267720935
0.3424395581234985,-1.5880391779638754,-0.047698015727364762,-0.002552439682132846,-0.027714790699305752,0.0014085705468276581,-0.027710595521680838,0.026302847476668074,0.0014069769145522643
0.34881515624111825,-1.6176531372532454,-0.04908858428021308,-0.002626852811492786,-0.028522812148699041,0.0014496813373525738,-0.028518485365005827,0.027069690206012839,0.0014479944185873911
0.355190754358738,-1.6472607314121175,-0.050488202944417949,-0.0027017502453389707,-0.029336092025482718,0.0014910635672356846,-0.029331632845711848,0.027841522766075089,0.0014892788258375729
0.3615663524763577,-1.676861861568183,-0.051896578019284371,-0.0027771162667555031,-0.030154459592628243,0.0015327087495813792,-0.030149867261427488,0.028618183090671996,0.0015308214724201841
0.36794195059397744,-1.7064564407179053,-0.053313425317689338,-0.0028529356680052475,-0.030977749648547433,0.0015746086832832407,-0.030973023446757821,0.029399514362012123,0.0015726139751242841
0.3806931468292169,-1.7656256444953964,-0.056171446376802658,-0.0030058762690867145,-0.032638463469879017,0.0016591413998694321,-0.032633467463040237,0.030975588108404745,0.001656916388942732
0.3921692234409324,-1.8188548605723507,-0.058769974245951033,-0.0031449306974995887,-0.034148391051304849,0.0017360153854965087,-0.034143149888394508,0.032408557765095665,0.0017335644229456578
0.4036453000526479,-1.8720619711762034,-0.061391935589457831,-0.0032852391382590025,-0.03567193278960145,0.0018135993665594698,-0.035666444279212388,0.03385444461141851,0.0018109035084807126
0.41512137666436344,-1.9252468244212746,-0.064035977888287562,-0.0034267292133183884,-0.037208302524985991,0.0018918547154011302,-0.037202564510153184,0.035312502178176636,0.0018888937486894548
0.42659745327607895,-1.9784093437297454,-0.066700826850087644,-0.003569332730806216,-0.038756759563517033,0.0019707451801729537,-0.038750769924070318,0.036782027159005005,0.0019674975546110046
0.43807352988779447,-2.0315495225936022,-0.069385281555423284,-0.0037129854252482834,-0.040316605890340709,0.0020502367456214426,-0.040310362492081371,0.038262356687740612,0.0020466795019734737
0.44954960649951,-2.0846674208764164,-0.07208820980844316,-0.0038576267089378102,-0.041887183502229898,0.0021302975003143162,-0.041880684134283287,0.039752865794041678,0.0021264061941251413
0.4610256831112255,-2.137763157751301,-0.074808544153039017,-0.0040031994585232713,-0.043467872086606588,0.0022108975236434149,-0.043461114394879312,0.041252965213311565,0.0022066461446022287
0.472501759722941,-2.1908369029997266,-0.077545278342349366,-0.0041496498260137323,-0.045058086909055835,0.0022920087865849364,-0.045051068404610553,0.042762099436583517,0.0022873696729681235
0.4839778363346565,-2.243888870165835,-0.08029746388916377,-0.0042969270544823412,-0.046657276836738024,0.0023736050552591514,-0.046649994869314711,0.044279744801981345,0.0023685488030571731
0.49545391294637203,-2.2969193119153819,-0.083064206642536761,-0.0044449832946096956,-0.048264922392671099,0.0024556617953411294,-0.048257374082766001,0.045805407632577858,0.0024501571617766282
