Time (s),dln[SiH4(1)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH4(1)]/dln[k9]: SiH3SiH(5)=H4Si2(7),dln[SiH4(1)]/dln[k11]: H2(3)+H2Si2(22)=H4Si2(7),dln[SiH4(1)]/dG[SiH4(1)],dln[SiH4(1)]/dG[H2(3)],dln[SiH4(1)]/dG[Si(14)],dln[SiH4(1)]/dG[SiH3SiH(5)],dln[SiH4(1)]/dG[H2Si2(22)]
0.002496208490968816,-0.011365979705657716,-4.2133464995112693e-06,-2.254623410161935e-07,-2.4473099305221286e-06,1.2437849759596045e-07,-2.4473032211487415e-06,2.3229158128174588e-06,1.2426892869733437e-07
0.0029389583602479636,-0.013382824417709683,-5.8360584640127368e-06,-3.1229606080736085e-07,-3.3898549394202356e-06,1.7227770968557675e-07,-3.3898437012918843e-06,3.2175561129717356e-06,1.7212969629953748e-07
0.003381708229527111,-0.015399929278276516,-7.7209807341816666e-06,-4.1316105266587248e-07,-4.4847045220054334e-06,2.2791585364486221e-07,-4.4846869963078908e-06,4.2567601253214377e-06,2.2772436078856739e-07
0.0038244580988062585,-0.017417293177602263,-9.8675100746730734e-06,-5.2802503915595163e-07,-5.7315088451327825e-06,2.9127510225309743e-07,-5.7314829730191227e-06,5.4401955377027843e-06,2.9103519309283245e-07
0.004709957837364553,-0.021452793671951013,-1.4942983609994203e-05,-7.9962123851085859e-07,-8.6795863758081365e-06,4.4108582579522522e-07,-8.6795363161814485e-06,8.2384349606229338e-06,4.4073463829583202e-07
0.005595457575922848,-0.025489317096090855,-2.1057680373767913e-05,-1.1268278936242546e-06,-1.223130495026952e-05,6.2156817854283417e-07,-1.2231218575906373e-05,1.1609630935838943e-05,6.2108699591718699e-07
0.006480957314481143,-0.029526854702889283,-2.8206823786145805e-05,-1.5093894222917599e-06,-1.638389493633142e-05,8.3258113978633167e-07,-1.6383757452797965e-05,1.5551152244129857e-05,8.3195185618806238e-07
0.007366457053039438,-0.033565397802256071,-3.6385659320576574e-05,-1.9470514219801393e-06,-2.1134599532903067e-05,1.073984334569274e-06,-2.113439356056451e-05,2.0060379866012328e-05,1.0731894189850084e-06
0.008251956791597733,-0.037604937760567829,-4.5589454350976472e-05,-2.4395606616764492e-06,-2.6480674532094901e-05,1.3456380309727394e-06,-2.6480380212027404e-05,2.5134706907726763e-05,1.3446604832044883e-06
0.009137456530156029,-0.041645466000275702,-5.5813498027747923e-05,-2.986665075246023e-06,-3.2419388418037143e-05,1.6474031448812485e-06,-3.2418983413587576e-05,3.0771538438044592e-05,1.6462264425519152e-06
0.009999999999999998,-0.045771071550268695,-6.7025744886275467e-05,-3.5866498678486718e-06,-3.8932129815925824e-05,1.9783340817933743e-06,-3.8931591070627932e-05,3.6953207987828298e-05,1.9769421664871934e-06
0.010908456007272619,-0.049729453293936215,-7.9303596668817418e-05,-4.2436569766757954e-06,-4.6063868805890657e-05,2.3407145126296995e-06,-4.6063166387872226e-05,4.3722395380983168e-05,2.3390916050459508e-06
0.012679455484389208,-0.057817292174981202,-0.0001068187005964749,-5.7160337142175258e-06,-6.2046437711782627e-05,3.152818583666099e-06,-6.2045321159396379e-05,5.8892428928024031e-05,3.150687934045051e-06
0.014450454961505798,-0.065908916013826438,-0.00013832189748133708,-7.4018201877437361e-06,-8.034568884579619e-05,4.0826256079548737e-06,-8.034402462061455e-05,7.6261305745807639e-05,4.0799279762902557e-06
0.016221454438622388,-0.074004259049023247,-0.00017377661450174229,-9.2990594589470723e-06,-0.00010094041113855818,5.1290558754653911e-06,-0.00010093805012724613,9.580887941433965e-05,5.1257338429708214e-06
0.01799245391573898,-0.082103256376842459,-0.00021314661535841119,-1.1405812591705768e-05,-0.00012380958733535448,6.2910396519388042e-06,-0.00012380636619530958,0.00011751518836000111,6.287037231621874e-06
0.01976345339285557,-0.090205843941081901,-0.0002563959970834518,-1.3720158481586438e-05,-0.0001489323921001173,7.5675170691081008e-06,-0.00014892813422035916,0.0001413604540638669,7.5627794166633578e-06
0.021534452869972163,-0.098311958523495876,-0.00030348918688126133,-1.6240193687095358e-05,-0.00017628819063204802,8.9574380189608602e-06,-0.00017628270675103315,0.00016732507934687227,8.951911224528407e-06
0.023305452347088754,-0.10642153773368768,-0.00035439093912311857,-1.8964032268960734e-05,-0.00020585653649799818,1.0459762075549207e-05,-0.00020584962558665334,0.00019538964689978043,1.0453393002104573e-05
0.025076451824205346,-0.11453451999932392,-0.00040906633241756524,-2.1889805633549188e-05,-0.00023761716984426563,1.2073458414470743e-05,-0.00023760862063368945,0.00022553491757731342,1.2066194573670228e-05
0.028618450778438526,-0.1307704514531518,-0.00052959996223022373,-2.8339768233680884e-05,-0.00030763518694199986,1.5630892149660711e-05,-0.00030762268677544518,0.00029199149374117014,1.5621683453169183e-05
0.03216044973267171,-0.14701927631748068,-0.00066481707946539775,-3.5575473747708798e-05,-0.00038618383954193273,1.96216812656512e-05,-0.00038616643499384099,0.00036654439631969739,1.9610323633440925e-05
0.03570244868690489,-0.16328053051101715,-0.00081444968595917647,-4.3582581858288836e-05,-0.00047310761289598782,2.4037915726463611e-05,-0.00047308428961666401,0.00044904596118466227,2.4024208083008356e-05
0.039244447641138075,-0.17955376214915592,-0.00097823469187023832,-5.2347014840119509e-05,-0.00056825382591481853,2.8871830780728468e-05,-0.00056822351659311548,0.00053935122221036923,2.8855574463193842e-05
0.04278644659537126,-0.19583853126611891,-0.0011559138282088233,-6.1854952883248402e-05,-0.00067147258222649271,3.411580437164688e-05,-0.00067143417448211847,0.000637317863558745,3.4096802643438632e-05
0.04632844554960444,-0.21213440953864415,-0.0013472335594562361,-7.2092829420725488e-05,-0.00078261672020418793,3.9762354541792419e-05,-0.00078256906668879326,0.0007428061731992305,3.9740412197537783e-05
0.049870444503837624,-0.22844098000780336,-0.00155194499618259,-8.3047326457014558e-05,-0.0009015417633791333,4.580413685857727e-05,-0.00090148368855397568,0.00085567899330393988,4.5779059857345083e-05
0.05341244345807081,-0.24475783681354366,-0.0017698038092332322,-9.4705369980533768e-05,-0.0010281058747513793,5.223394188375186e-05,-0.0010280361763160514,0.00097580167372745901,5.2205536974846674e-05
0.05695444241230399,-0.26108458493205378,-0.0020005701464038002,-0.00010705412550679769,-0.0011621698067297021,5.9044692705091407e-05,-0.0011620872611078292,0.0011030420268545874,5.9012767048212033e-05
0.060496441366537174,-0.27742083992168753,-0.0022440085509026794,-0.00012008099371791824,-0.0013035968547599128,6.6229442527048716e-05,-0.0013035002234885391,0.0012372702831563742,6.6193803313737573e-05
0.06403844032077036,-0.29376622767411531,-0.0024998878809622182,-0.00013377360616410972,-0.0014522528095243386,7.3781372297148477e-05,-0.0014521408443231281,0.001378359047576875,7.3741826376207695e-05
0.06758043927500354,-0.31012038416934773,-0.0027679812305721504,-0.00014811982102406947,-0.0016080059137425656,8.169378836190983e-05,-0.0016078773611381239,0.0015261832559290208,8.1650141867143459e-05
0.07112243822923672,-0.32648295523904919,-0.0030480658516444802,-0.00016310771894508151,-0.0017707268202620133,8.9960120165438092e-05,-0.0017705804229942129,0.0016806201324254331,8.9912178141259016e-05
0.0746644371834699,-0.34285359633312129,-0.0033399230777470335,-0.00017872559896027704,-0.0019402885479880918,9.8573917996655654e-05,-0.0019401230461100611,0.0018415491472933108,9.8521484018384469e-05
0.07820643613770309,-0.35923197228659443,-0.0036433382492887653,-0.00019496197448917068,-0.0021165664356149892,0.00010752885077716376,-0.0021163805698723097,0.0020088519756250927,0.00010747172657209912
0.08174843509193627,-0.37561775709949069,-0.0039581006399821783,-0.00021180556940229403,-0.0022994380989000162,0.00011681870388655757,-0.0022992306146086506,0.002182412457657411,0.00011675668895760782
0.08529043404616946,-0.39201063371918643,-0.004284003384510464,-0.00022924531415580352,-0.0024887833911679111,0.00012643737702546895,-0.0024885530378617516,0.0023621165572590332,0.00012637026827787176
0.08883243300040264,-0.40841029382881661,-0.0046208434075287724,-0.00024727034199076498,-0.0026844843636796988,0.00013637888211481063,-0.0026842298979081478,0.0025478523271216355,0.0001363064734810344
0.09237443195463582,-0.42481643763566046,-0.0049684213540541686,-0.00026586998521105663,-0.0028864252235132281,0.0001466373412372128,-0.0028861454131802245,0.0027395098681388176,0.00014655942330139748
0.095916430908869,-0.44122877366966362,-0.0053265415209324757,-0.00028503377151903851,-0.0030944922957211762,0.00015720698461387932,-0.0030941859203599017,0.0029369812937759137,0.0001571233442390029
0.09945842986310219,-0.45764701858071105,-0.0056950117898133664,-0.00030475142042735365,-0.0033085739825028516,0.00016808214862010329,-0.0033082398332940689,0.0031401606873224077,0.00016799256857656802
0.09999999999999998,-0.46662891184940414,-0.0058331907496582264,-0.00031214566345978706,-0.0033888529343769243,0.00017216038093750371,-0.0033885096685859644,0.0032163524401813337,0.00017206860047544432
0.10300042881733537,-0.47407089694251958,-0.0060736435611361671,-0.00032501283972858973,-0.0035285607251318023,0.00017925727383375945,-0.0035281976076178482,0.0033489440707179432,0.00017916153243156666
0.10654242777156855,-0.49050014106599971,-0.0064622516893382475,-0.00034580812202901978,-0.0037543449696885675,0.00019072690312030492,-0.0037539517035018212,0.0035632293705581135,0.00019062477384059766
0.11008442672580174,-0.50693449081280462,-0.006860654419355878,-0.00036712754135278315,-0.0039858211321214558,0.00020248567975290012,-0.0039853965496394134,0.0037829163787662838,0.00020237693088311269
0.11362642568003492,-0.52337369340971018,-0.0072686733240640332,-0.00038896154979401983,-0.0042228855580594546,0.00021452834556469363,-0.0042224285081184035,0.0040079067220475549,0.00021441273983626192
0.1171684246342681,-0.53981750327346323,-0.0076861332430974965,-0.00041130077424580773,-0.0044654364858211356,0.00022684973914123145,-0.0044649458340888654,0.0042381038239898104,0.00022672703336856282
0.12071042358850129,-0.55626568183512548,-0.0081128622226374434,-0.00043413601317919548,-0.0047133740151133231,0.00023944479404145708,-0.0047128486435462644,0.0044734128728080788,0.00023931473875883248
0.12425242254273447,-0.57271799737327056,-0.0085486914563396316,-0.00045745823347840154,-0.0049666000734704977,0.00025230853704552938,-0.0049660388792436838,0.0047137407943816673,0.00025217087614930607
0.12779442149696765,-0.58917422484387483,-0.0089934552275656564,-0.00048125856735369471,-0.005225018376995543,0.00026543608644681317,-0.0052244202755742722,0.0049589962144857775,0.00026529055684314636
0.13133642045120084,-0.605634145717592,-0.0094469908522271367,-0.00050552830928424241,-0.0054885344031960544,0.00027882265036545563,-0.0054878983314117068,0.0052090894296661248,0.00027866898162306916
0.1384204183596672,-0.63856422534742896,-0.010379741856037513,-0.00055544199414208923,-0.006030490196951164,0.00030635409649837228,-0.0060297750648942603,0.0057234386537261157,0.00030618330705819421
0.14479601647728693,-0.66821186419051903,-0.011247645697012976,-0.0006018855759531011,-0.0065347713548945001,0.00033197194015934992,-0.0065339816109231752,0.0062020315006573344,0.00033178473642332456
0.15117161459490666,-0.69786835249824264,-0.012141573113056789,-0.00064972175937150797,-0.0070541762503716918,0.00035835840249188452,-0.0070533087263637499,0.0066949769243316616,0.00035815377822110805
0.1575472127125264,-0.7275326311966881,-0.013060677802606455,-0.00069890525700714581,-0.0075882131173437145,0.00038548857295965609,-0.0075872647492317979,0.0072018082312789462,0.00038526546665191013
