Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4),SiH3SiH(5)
2.097156e-09,0.0,0.0,0.0,0.0,0.49999999986885485,0.50000000006557266,2.3829379347718988e-17,6.5572600980343017e-11,3.677171406913455e-25
4.194308e-09,0.0,0.0,0.0,0.0,0.49999999973770987,0.50000000013114509,2.3829380917817514e-17,1.311450807089463e-10,7.3543423023535278e-25
8.388612e-09,0.0,0.0,0.0,0.0,0.49999999947541995,0.50000000026229008,2.3829384058014574e-17,2.6229004009735663e-10,1.4708684086482262e-24
9.999999999999999e-09,0.0,0.0,0.0,0.0,0.49999999937465212,0.50000000031267389,2.3829385264430665e-17,3.126739449352645e-10,1.7534110683382563e-24
1.6777220000000003e-08,0.0,0.0,0.0,0.0,0.49999999895084007,0.50000000052457994,2.3829390338408681e-17,5.245799585989923e-10,2.9417367627734101e-24
3.3554436000000004e-08,0.0,0.0,0.0,0.0,0.49999999790168048,0.50000000104915987,2.3829402899196923e-17,1.0491597945015246e-09,5.8834734602215326e-24
6.7108868e-08,0.0,0.0,0.0,0.0,0.49999999580336113,0.50000000209831952,2.3829428020773452e-17,2.09831946190363e-09,1.176694681190877e-23
9.999999999999998e-08,0.0,0.0,0.0,0.0,0.4999999937465211,0.50000000312673953,2.3829452645749769e-17,3.1267394578064696e-09,1.7534116281099641e-23
1.3421773200000002e-07,0.0,0.0,0.0,0.0,0.49999999160672243,0.5000000041966387,2.3829478263926724e-17,4.1966387790960062e-09,2.3533893342447232e-23
2.6843546000000004e-07,0.0,0.0,0.0,0.0,0.49999998321344541,0.5000000083932773,2.3829578750234109e-17,8.393277343033428e-09,4.7067785712180207e-23
5.368709160000001e-07,0.0,0.0,0.0,0.0,0.49999996642689171,0.50000001678655415,2.3829779722852259e-17,1.6786554189118952e-08,9.4135567686270357e-23
8.053063720000001e-07,0.0,0.0,0.0,0.0,0.4999999496403385,0.50000002517983078,2.3829980695477151e-17,2.517983075341516e-08,1.4120334649993209e-22
9.999999999999997e-07,0.0,0.0,0.0,0.0,0.49999993746521504,0.50000003126739256,2.3830126458974146e-17,3.1267392488358325e-08,1.7534114685003972e-22
1.073741828e-06,0.0,0.0,0.0,0.0,0.49999993285378591,0.50000003357310707,2.3830181668108795e-17,3.3573107035922068e-08,1.8827112215316564e-22
1.6106127400000001e-06,0.0,0.0,0.0,0.0,0.49999989928068217,0.500000050359659,2.3830583613396732e-17,5.0359658939593683e-08,2.8240666501032764e-22
2.147483652e-06,0.0,0.0,0.0,0.0,0.49999986570758037,0.50000006714620981,2.3830985558713829e-17,6.7146209807025571e-08,3.765421957356265e-22
3.2212254760000003e-06,0.0,0.0,0.0,0.0,0.49999979856138377,0.50000010071930812,2.3831789449428486e-17,1.0071930813924088e-07,5.6481321914234662e-22
4.2949673e-06,0.0,0.0,0.0,0.0,0.4999997314151961,0.50000013429240198,2.3832593340251661e-17,1.3429240198607523e-07,7.5308419211261939e-22
6.442450948e-06,0.0,0.0,0.0,0.0,0.49999959712284769,0.50000020143857615,2.3834201122222044e-17,2.0143857616161315e-07,1.1296259863962678e-21
9.999999999999997e-06,0.0,0.0,0.0,0.0,0.49999937465249428,0.50000031267375289,2.3836864595478839e-17,3.126737528815396e-07,1.7534095243413689e-21
1.0737418244e-05,0.0,0.0,0.0,0.0,0.49999932853825918,0.50000033573087044,2.3837416687458725e-17,3.3573087042641019e-07,1.8827089682592679e-21
1.9327352836e-05,0.0,0.0,0.0,0.0,0.49999879136951492,0.50000060431524251,2.3843847823114228e-17,6.043152425528872e-07,3.3888725048462353e-21
