Time (s),dln[SiH2(2)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH2(2)]/dln[k2]: H2(3)+Si(14)=SiH2(2),dln[SiH2(2)]/dln[k9]: SiH3SiH(5)=H4Si2(7),dln[SiH2(2)]/dln[k11]: H2(3)+H2Si2(22)=H4Si2(7),dln[SiH2(2)]/dG[SiH4(1)],dln[SiH2(2)]/dG[SiH2(2)],dln[SiH2(2)]/dG[H2(3)],dln[SiH2(2)]/dG[Si(14)],dln[SiH2(2)]/dG[SiH3SiH(5)],dln[SiH2(2)]/dG[H2Si2(22)]
3.2767e-11,0.99999999985092147,-0.99999999709710574,8.0419413766301308e-20,-1.4574717745258933e-20,-1.6000240097134664e-09,-0.55117082768695258,0.5511708260869288,0.5511708260869288,-3.3877533033128604e-20,8.0331457730307436e-21
6.5535e-11,0.99999999970177444,-0.99999999709710552,2.6829214973422605e-19,-8.4295810704247589e-20,-1.6000239059495361e-09,-0.55117082768695247,0.55117082608692869,0.55117082608692869,-1.2697084659461074e-19,4.6461336348731e-20
9.999999999999999e-11,0.99999999968610087,-0.99999999723830235,5.4709525241707335e-19,-2.4788177915400094e-19,-1.6000237969904309e-09,-0.55117082776477611,0.55117082616475233,0.55117082616475233,-2.6964032209242333e-19,1.3662508167339775e-19
1.31071e-10,0.99999999940348183,-0.99999999709710552,7.9844274120210526e-19,-3.9535833870491548e-19,-1.6000236983316714e-09,-0.55117082768695269,0.55117082608692902,0.55117082608692902,-3.9826017620580727e-19,2.1790979748807359e-19
2.62143e-10,0.99999999880689672,-0.99999999709710252,2.0775071009369811e-18,-1.4394887556466256e-18,-1.6000232829636859e-09,-0.55117082768695269,0.55117082608692936,0.55117082608692936,-1.0614110987158004e-18,7.9340369225130026e-19
5.24287e-10,0.99999999761373426,-0.99999999709708987,4.7673680139920667e-18,-4.1258045715869664e-18,-1.6000224521407821e-09,-0.55117082768695269,0.55117082608693013,0.55117082608693013,-2.4603053401251772e-18,2.2740218739081748e-18
9.999999999999999e-10,0.99999999566926256,-0.99999999731777711,9.4170435328124856e-18,-9.4212958839747939e-18,-1.6000209449262537e-09,-0.55117082780861593,0.55117082620859481,0.55117082620859481,-4.8711662909870524e-18,5.192740853831178e-18
1.0485750000000002e-09,0.99999999522743777,-0.99999999709703646,9.8918213668741273e-18,-9.9620178949809571e-18,-1.6000207906355053e-09,-0.5511708276869528,0.55117082608693191,0.55117082608693191,-5.1173390262358181e-18,5.4907709143647256e-18
2.0971510000000003e-09,0.99999999045495713,-0.99999999709681675,1.8680377282503187e-17,-2.1882910536803268e-17,-1.6000174684767168e-09,-0.55117082768695269,0.55117082608693524,0.55117082608693513,-9.6262705377267019e-18,1.206121623683116e-17
4.194303e-09,0.99999998091044906,-0.99999999709592569,3.0288687925068791e-17,-4.6076211530410167e-17,-1.6000108276553978e-09,-0.5511708276869528,0.5511708260869419,0.5511708260869419,-1.5353372001546175e-17,2.5395852264269335e-17
8.388607e-09,0.99999996182323814,-0.99999999709233645,2.9611365720589194e-17,-9.574435666666543e-17,-1.599997560011628e-09,-0.5511708276869528,0.55117082608695511,0.55117082608695489,-1.3634200584087864e-17,5.277147423500049e-17
9.999999999999999e-09,0.9999999852778233,-1.0000000278758077,1.0991445711273381e-17,-1.1580860849530261e-16,-1.5999925227824557e-09,-0.55117084465542898,0.55117084305543629,0.55117084305543607,-2.8515209241898407e-18,6.3830300965491757e-17
1.6777215e-08,0.99999992365604273,-0.99999999707793419,-6.7320430315215418e-17,-2.0019505161102725e-16,-1.5999710807193699e-09,-0.5511708276869528,0.55117082608698176,0.55117082608698142,4.249839797134047e-17,1.1034163170383726e-16
3.3554431e-08,0.99999984735055647,-0.99999999702022624,-6.4349262483646978e-16,-4.2955351252516817e-16,-1.5999183461055742e-09,-0.55117082768695314,0.55117082608703505,0.55117082608703438,3.6554061774709338e-16,2.3675729889571683e-16
6.7108863e-08,0.9999996948552019,-0.99999999678920293,-3.3250709833704106e-15,-9.7009868242041238e-16,-1.5998137726778785e-09,-0.55117082768695347,0.55117082608714119,0.55117082608713897,1.8547329181799227e-15,5.3469002243500833e-16
9.999999999999998e-08,0.99999970062608834,-1.0000001513612358,-8.9516483727923173e-15,-1.6603799366892452e-15,-1.5997132703034054e-09,-0.55117091313228606,0.55117091153257758,0.55117091153257158,4.9673696328021351e-15,9.1515299769926364e-16
1.34217727e-07,0.9999993903269655,-0.99999999586472366,-1.4805160049718245e-14,-2.3785018253078304e-15,-1.5996082083661325e-09,-0.55117082768695391,0.5511708260873539,0.55117082608734413,8.2055469592280782e-15,1.3109609218701355e-15
2.01326591e-07,0.99999908641529922,-0.99999999432366837,-3.2402184438984481e-14,-4.1142136391115095e-15,-1.5994062263023229e-09,-0.55117082768695502,0.55117082608756707,0.55117082608754586,1.7928803027939812e-14,2.267635057377766e-15
