Time (s),dln[SiH2(2)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH2(2)]/dln[k2]: Si2H6(4)=SiH4(1)+SiH2(2),dln[SiH2(2)]/dln[k3]: Si2H6(4)=H2(3)+SiH3SiH(5),dln[SiH2(2)]/dln[k5]: SiH2(2)+SiH2(2)=H4Si2(7),dln[SiH2(2)]/dln[k12]: H3Si(8)+H3Si(8)=Si2H6(4),dln[SiH2(2)]/dln[k23]: H2(3)+H3Si2(12)=H5Si2(11),dln[SiH2(2)]/dln[k30]: Si2H6(4)+HSi(10)=H7Si3(31),dln[SiH2(2)]/dln[k33]: SiH4(1)+H3Si2(12)=H7Si3(31),dln[SiH2(2)]/dG[SiH4(1)],dln[SiH2(2)]/dG[SiH2(2)],dln[SiH2(2)]/dG[H2(3)],dln[SiH2(2)]/dG[Si2H6(4)],dln[SiH2(2)]/dG[H3Si(8)],dln[SiH2(2)]/dG[HSi(10)],dln[SiH2(2)]/dG[H3Si2(12)]
1.023e-12,0.99999999999688871,-4.6358012077774569e-07,-3.3897913790106797e-26,-1.7448500914130006e-17,-6.9992506864530195e-30,-6.5528418512944642e-38,5.4950568583013661e-46,5.1011018338744731e-43,-2.5551183916373289e-07,-2.5551183916920652e-07,-1.8839934021685025e-20,2.5551183916375173e-07,-1.7383572375219406e-26,5.4359198014068139e-18,3.6117354367794794e-38
2.047e-12,0.99999999999377487,-9.2753798226820265e-07,-2.7129837309662017e-25,-6.9869787913579216e-17,-5.6033960198679179e-29,-1.049243920726548e-36,1.7012296025140527e-44,1.6334440727127965e-41,-5.1123187858038601e-07,-5.1123187859141311e-07,-7.5441595799322591e-20,5.112318785804614e-07,-6.9545559098648723e-26,1.0876268998728305e-17,5.7831269352487418e-37
4.095e-12,0.99999999998754696,-1.8554525359242967e-06,-2.1699318741320253e-24,-2.796304530938669e-16,-4.4843125358783582e-28,-1.6793896560034218e-35,5.0628078541288752e-43,5.2278087424902187e-40,-1.0226713146908931e-06,-1.0226713147132541e-06,-3.0193000945311629e-19,1.0226713146911955e-06,-2.7801698773814246e-25,2.175695375748366e-17,9.2563075507981824e-36
8.191e-12,0.99999999997509004,-3.7112778073506234e-06,-1.7343734453654174e-23,-1.1188218760939159e-15,-3.5880854739313401e-27,-2.6874014470886437e-34,1.373965916220528e-41,1.6724122621919166e-38,-2.0455480797832291e-06,-2.0455480798291637e-06,-1.2080461022444508e-18,2.045548079784437e-06,-1.1102354767770405e-24,4.3518278597760006e-17,1.4812178130259475e-34
1e-11,0.61037440860118908,-3.0848916574838951e-06,-3.7337554750900585e-23,-1.4242203673661155e-15,-7.737020068386312e-27,-1.0541987076446238e-33,6.7637762820108464e-41,1.2459068640398253e-37,-1.7003023122757664e-06,-1.7003023123150155e-06,-1.537803260493649e-18,1.7003023122773042e-06,-1.4097278594318827e-24,3.6173302803934143e-17,5.8104396823235125e-34
1.6383e-11,0.99999999995017597,-7.4229134267862032e-06,-1.3848620663489722e-22,-4.4758669150123871e-15,-2.8707182286638719e-26,-4.2998204601167203e-33,2.820578915432938e-40,5.347026499168148e-37,-4.0912934130144714e-06,-4.0912934131111788e-06,-4.8328264817824503e-18,4.0912934130193037e-06,-4.4252615203013722e-24,8.7040754495278354e-17,2.3699372915963626e-33
3.2767e-11,0.99999999990034039,-1.4846125182385348e-05,-1.1042017988813745e-21,-1.7904460348820746e-14,-2.2966676409173199e-25,-6.8786593096479064e-32,-1.0315688012019606e-39,1.7077995321980015e-35,-8.1827514076266403e-06,-8.1827514078393913e-06,-1.93325076992104e-17,8.1827514076459747e-06,-1.757356300625085e-23,1.7408501362143578e-16,3.7913217556972826e-32
6.5535e-11,0.99999999980064269,-2.9692310869600376e-05,-8.7900994593847321e-21,-7.1618497398108666e-14,-1.8373603339992101e-24,-1.1001706970077468e-30,-6.7173458617733981e-37,5.4438668899860885e-34,-1.6365536769577943e-05,-1.6365536770080786e-05,-7.733175920264058e-17,1.6365536769655278e-05,-6.9270321953177286e-23,3.4817076244688649e-16,6.0638381389837035e-31
9.999999999999999e-11,0.76295110666566157,-3.8268326061346204e-05,-3.8857873889123262e-20,-1.6762775903430209e-13,-8.1655829419308495e-24,-9.5107083070755945e-30,-3.2632211926313247e-35,9.2197026605321301e-33,-2.1092387785415962e-05,-2.1092387786226708e-05,-1.8100423363765051e-16,2.1092387785596959e-05,-1.5782551257484944e-22,4.4873280235588427e-16,5.2420623568787893e-30
1.31071e-10,0.99999999960114272,-5.9383731034211901e-05,-6.9926799965265758e-20,-2.8646466736820922e-13,-1.469881155088351e-23,-1.7588898269942148e-29,-6.174811345291222e-35,1.7286086462718864e-32,-3.2730585031795171e-05,-3.2730585033110179e-05,-3.0932498230216385e-16,3.2730585032104487e-05,-2.6888194312765992e-22,6.9633118315460575e-16,9.694557889586032e-30
